年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,一期作,彰化縣,田尾鄉,C01 ,稉稻,265.31,265.31,2177664,8208,1720355,6484
113,二期作,彰化縣,田尾鄉,C01 ,稉稻,257.18,257.18,1322420,5142,1031488,4011
113,一期作,彰化縣,二林鎮,C01 ,稉稻,2911.25,2911.25,21321995,7324,16919003,5812
113,二期作,彰化縣,二林鎮,C01 ,稉稻,1989.11,1989.11,10850595,5455,8447412,4247
113,一期作,彰化縣,二林鎮,C02 ,硬秈稻,5,5,36620,7324,29058,5812
113,二期作,彰化縣,二林鎮,C02 ,硬秈稻,20,20,114771,5739,87800,4390
113,一期作,彰化縣,二林鎮,C03 ,軟秈稻,365,365,2673260,7324,2121232,5812
113,二期作,彰化縣,二林鎮,C03 ,軟秈稻,10,10,56500,5650,43053,4305
113,一期作,彰化縣,二林鎮,C04 ,稉糯稻,20,20,146480,7324,116232,5812
113,二期作,彰化縣,二林鎮,C04 ,稉糯稻,5,5,29775,5955,23227,4645
113,一期作,彰化縣,二林鎮,C05 ,秈糯稻,30,30,219720,7324,174348,5812
113,一期作,彰化縣,伸港鄉,C01 ,稉稻,428.22,428.22,3027944,7071,2392076,5586
113,二期作,彰化縣,伸港鄉,C01 ,稉稻,49.94,49.94,185977,3724,145248,2908
113,一期作,彰化縣,伸港鄉,C03 ,軟秈稻,265,265,1873815,7071,1480314,5586
113,二期作,彰化縣,伸港鄉,C03 ,軟秈稻,1.2,1.2,3957,3298,2901,2418
113,一期作,彰化縣,溪州鄉,C01 ,稉稻,1829.85,1829.85,14666248,8015,11601002,6340
113,二期作,彰化縣,溪州鄉,C01 ,稉稻,1777.32,1777.32,10601182,5965,8176364,4600
113,一期作,彰化縣,溪州鄉,C03 ,軟秈稻,32,32,256480,8015,202876,6340
113,二期作,彰化縣,溪州鄉,C03 ,軟秈稻,45,45,255330,5674,196630,4370
113,一期作,彰化縣,溪州鄉,C04 ,稉糯稻,5,5,40075,8015,31699,6340
113,二期作,彰化縣,溪州鄉,C04 ,稉糯稻,5,5,28855,5771,22769,4554
113,一期作,彰化縣,溪州鄉,C05 ,秈糯稻,53,53,424795,8015,336013,6340
113,二期作,彰化縣,溪州鄉,C05 ,秈糯稻,40,40,223320,5583,161259,4031
113,一期作,彰化縣,線西鄉,C01 ,稉稻,603.89,603.89,4687394,7762,3703041,6132
113,二期作,彰化縣,線西鄉,C01 ,稉稻,22.1,22.1,81925,3707,63902,2891
113,一期作,彰化縣,線西鄉,C03 ,軟秈稻,8,8,62096,7762,49056,6132
113,一期作,彰化縣,秀水鄉,C01 ,稉稻,628.12,628.12,5045060,8032,4006787,6379
113,二期作,彰化縣,秀水鄉,C01 ,稉稻,460.04,460.04,2230274,4848,1744743,3793
113,一期作,彰化縣,秀水鄉,C03 ,軟秈稻,147.2,147.2,1182310,8032,938991,6379
113,二期作,彰化縣,秀水鄉,C03 ,軟秈稻,80.37,80.37,468062,5824,364433,4535
113,一期作,彰化縣,秀水鄉,C04 ,稉糯稻,6.2,6.2,49799,8032,39550,6379
113,一期作,彰化縣,秀水鄉,C05 ,秈糯稻,303.7,303.7,2439318,8032,1937306,6379
113,二期作,彰化縣,秀水鄉,C05 ,秈糯稻,152.42,152.42,729787,4788,568188,3728
113,一期作,彰化縣,福興鄉,C01 ,稉稻,853.62,853.62,6977490,8174,5512217,6457
113,二期作,彰化縣,福興鄉,C01 ,稉稻,170,170,642600,3780,503156,2960
113,一期作,彰化縣,福興鄉,C03 ,軟秈稻,75,75,613050,8174,484310,6457
113,二期作,彰化縣,福興鄉,C03 ,軟秈稻,3,3,10722,3574,8148,2716
113,一期作,彰化縣,福興鄉,C04 ,稉糯稻,10,10,81740,8174,64574,6457
113,一期作,彰化縣,福興鄉,C05 ,秈糯稻,730,730,5967020,8174,4713946,6457
113,二期作,彰化縣,福興鄉,C05 ,秈糯稻,205,205,701052,3420,545108,2659
113,一期作,彰化縣,芳苑鄉,C01 ,稉稻,1162.08,1162.08,9131625,7858,7213984,6208
